"iCE40 Pinout
HX1K",,,,,
"
Pin Function","Pin
Type",Bank,"(VQ100)
100-Pin VQFP
Pin Number","(CB132)
132-Ball csBGA Ball Number","(TQ144)
144-Pin TQFP 
Pin Number"
IOL_1A,DPIO,3,1,B1,1
IOL_1B,DPIO,3,2,C1,2
IOL_2A,DPIO,3,3,C3,3
IOL_2B,DPIO,3,4,D3,4
IOL_3A,DPIO,3,7,D4,7
IOL_3B,DPIO,3,8,E4,8
IOL_4A,DPIO,3,-,D1,9
IOL_4B,DPIO,3,-,E1,10
IOL_5A,DPIO,3,9,F4,11
IOL_5B,DPIO,3,10,F3,12
IOL_6A,DPIO,3,12,H3,19
IOL_6B_GBIN7,GBIN,3,13,H1,20
IOL_7A_GBIN6,GBIN,3,15,G1,21
IOL_7B,DPIO,3,16,G3,22
IOL_8A,DPIO,3,18,G4,23
IOL_8B,DPIO,3,19,H4,24
IOL_9A,DPIO,3,-,J1,25
IOL_9B,DPIO,3,-,J3,26
IOL_10A,DPIO,3,20,-,28
IOL_10B,DPIO,3,21,-,29
IOL_11A,DPIO,3,-,K4,31
IOL_11B,DPIO,3,-,K3,32
IOL_12A,DPIO,3,24,M1,33
IOL_12B,DPIO,3,25,L1,34
GNDPLL,GNDPLL,GNDPLL,-,P1,35
VCCPLL,VCCPLL,VCCPLL,-,N1,36
IOB_24,PIO,2,-,M3,37
IOB_25,PIO,2,-,L4,38
IOB_26,PIO,2,26,P2,39
IOB_27,PIO,2,27,P3,41
IOB_28,PIO,2,28,M4,42
IOB_29,PIO,2,29,L5,43
IOB_30,PIO,2,30,P4,44
IOB_31,PIO,2,-,L6,45
IOB_32,PIO,2,-,P5,47
IOB_33,PIO,2,-,M6,48
IOB_35_GBIN5,GBIN,2,33,P7,49
IOB_36_GBIN4,GBIN,2,34,P8,50
IOB_34,PIO,2,36,M7,52
IOB_37,PIO,2,37,P9,56
IOB_38,PIO,2,-,L7,58
IOB_39,PIO,2,-,M8,60
IOB_40,PIO,2,-,L8,61
IOB_41,PIO,2,40,M9,62
IOB_42_CBSEL0,PIO,2,41,L9,63
IOB_43_CBSEL1,PIO,2,42,P10,64
CDONE,CONFIG,2,43,M10,65
CRESET_B,CONFIG,2,44,L10,66
IOB_44_SDO,SPI,SPI,45,M11,67
IOB_45_SDI,SPI,SPI,46,P11,68
IOB_46_SCK,SPI,SPI,48,P12,70
IOB_47_SS,SPI,SPI,49,P13,71
VCC_SPI,SPI,SPI,50,L11,72
