SORT_PIN,PIN_NUMBER,XC3S250E_PIN,XC3S250E_TYPE,XC3S500E_PIN,XC3S500E_TYPE,BANK,DIFFERENCE
1,P1,PROG_B,CONFIG,PROG_B,CONFIG,VCCAUX,.
2,P2,IO_L01P_3,I/O,IO_L01P_3,I/O,3,.
3,P3,IO_L01N_3,I/O,IO_L01N_3,I/O,3,.
4,P4,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
5,P5,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,3,.
6,P6,IP,INPUT,IP,INPUT,3,.
7,P7,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
8,P8,IO_L03P_3,I/O,IO_L03P_3,I/O,3,.
9,P9,IO_L03N_3,I/O,IO_L03N_3,I/O,3,.
10,P10,GND,GND,GND,GND,GND,.
11,P11,IO_L04P_3,I/O,IO_L04P_3,I/O,3,.
12,P12,IO_L04N_3,I/O,IO_L04N_3,I/O,3,.
13,P13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
14,P14,IP,INPUT,IP,INPUT,3,.
15,P15,IO_L05P_3,I/O,IO_L05P_3,I/O,3,.
16,P16,IO_L05N_3,I/O,IO_L05N_3,I/O,3,.
17,P17,GND,GND,GND,GND,GND,.
18,P18,IO_L06P_3,I/O,IO_L06P_3,I/O,3,.
19,P19,IO_L06N_3,I/O,IO_L06N_3,I/O,3,.
20,P20,IP/VREF_3,VREF,IP/VREF_3,VREF,3,.
21,P21,VCCO_3,VCCO,VCCO_3,VCCO,3,.
22,P22,IO_L07P_3/LHCLK0,LHCLK,IO_L07P_3/LHCLK0,LHCLK,3,.
23,P23,IO_L07N_3/LHCLK1,LHCLK,IO_L07N_3/LHCLK1,LHCLK,3,.
24,P24,IO_L08P_3/LHCLK2,LHCLK,IO_L08P_3/LHCLK2,LHCLK,3,.
25,P25,IO_L08N_3/LHCLK3/IRDY2,LHCLK,IO_L08N_3/LHCLK3/IRDY2,LHCLK,3,.
26,P26,IP,INPUT,IP,INPUT,3,.
27,P27,GND,GND,GND,GND,GND,.
28,P28,IO_L09P_3/LHCLK4/TRDY2,LHCLK,IO_L09P_3/LHCLK4/TRDY2,LHCLK,3,.
29,P29,IO_L09N_3/LHCLK5,LHCLK,IO_L09N_3/LHCLK5,LHCLK,3,.
30,P30,IO_L10P_3/LHCLK6,LHCLK,IO_L10P_3/LHCLK6,LHCLK,3,.
31,P31,IO_L10N_3/LHCLK7,LHCLK,IO_L10N_3/LHCLK7,LHCLK,3,.
32,P32,IP,INPUT,IP,INPUT,3,.
33,P33,IO_L11P_3,I/O,IO_L11P_3,I/O,3,.
34,P34,IO_L11N_3,I/O,IO_L11N_3,I/O,3,.
35,P35,IO_L12P_3,I/O,IO_L12P_3,I/O,3,.
36,P36,IO_L12N_3,I/O,IO_L12N_3,I/O,3,.
37,P37,GND,GND,GND,GND,GND,.
38,P38,VCCO_3,VCCO,VCCO_3,VCCO,3,.
39,P39,IO_L13P_3,I/O,IO_L13P_3,I/O,3,.
40,P40,IO_L13N_3,I/O,IO_L13N_3,I/O,3,.
41,P41,IO_L14P_3,I/O,IO_L14P_3,I/O,3,.
42,P42,IO_L14N_3,I/O,IO_L14N_3,I/O,3,.
43,P43,IP,INPUT,IP,INPUT,3,.
44,P44,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
45,P45,IO/VREF_3,VREF,IO/VREF_3,VREF,3,.
46,P46,VCCO_3,VCCO,VCCO_3,VCCO,3,.
47,P47,IO_L15P_3,I/O,IO_L15P_3,I/O,3,.
48,P48,IO_L15N_3,I/O,IO_L15N_3,I/O,3,.
49,P49,IO_L16P_3,I/O,IO_L16P_3,I/O,3,.
50,P50,IO_L16N_3,I/O,IO_L16N_3,I/O,3,.
51,P51,IP,INPUT,IP,INPUT,3,.
52,P52,GND,GND,GND,GND,GND,.
53,P53,GND,GND,GND,GND,GND,.
54,P54,IP,INPUT,IP,INPUT,2,.
55,P55,IO_L01P_2/CSO_B,DUAL,IO_L01P_2/CSO_B,DUAL,2,.
56,P56,IO_L01N_2/INIT_B,DUAL,IO_L01N_2/INIT_B,DUAL,2,.
57,P57,IP_L02P_2,INPUT,IP_L02P_2,INPUT,2,.
58,P58,IP_L02N_2,INPUT,IP_L02N_2,INPUT,2,.
59,P59,VCCO_2,VCCO,VCCO_2,VCCO,2,.
60,P60,IO_L03P_2/DOUT/BUSY,DUAL,IO_L03P_2/DOUT/BUSY,DUAL,2,.
61,P61,IO_L03N_2/MOSI/CSI_B,DUAL,IO_L03N_2/MOSI/CSI_B,DUAL,2,.
62,P62,IO_L04P_2,I/O,IO_L04P_2,I/O,2,.
63,P63,IO_L04N_2,I/O,IO_L04N_2,I/O,2,.
64,P64,IO_L05P_2,I/O,IO_L05P_2,I/O,2,.
65,P65,IO_L05N_2,I/O,IO_L05N_2,I/O,2,.
66,P66,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
67,P67,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
68,P68,IO_L06P_2,I/O,IO_L06P_2,I/O,2,.
69,P69,IO_L06N_2,I/O,IO_L06N_2,I/O,2,.
70,P70,GND,GND,GND,GND,GND,.
71,P71,IP_L07P_2,INPUT,IP_L07P_2,INPUT,2,.
72,P72,IP_L07N_2/VREF_2,VREF,IP_L07N_2/VREF_2,VREF,2,.
73,P73,VCCO_2,VCCO,VCCO_2,VCCO,2,.
74,P74,IO_L08P_2/D7/GCLK12,DUAL/GCLK,IO_L08P_2/D7/GCLK12,DUAL/GCLK,2,.
75,P75,IO_L08N_2/D6/GCLK13,DUAL/GCLK,IO_L08N_2/D6/GCLK13,DUAL/GCLK,2,.
76,P76,IO/D5,DUAL,IO/D5,DUAL,2,.
77,P77,IO_L09P_2/D4/GCLK14,DUAL/GCLK,IO_L09P_2/D4/GCLK14,DUAL/GCLK,2,.
78,P78,IO_L09N_2/D3/GCLK15,DUAL/GCLK,IO_L09N_2/D3/GCLK15,DUAL/GCLK,2,.
79,P79,GND,GND,GND,GND,GND,.
80,P80,IP_L10P_2/RDWR_B/GCLK0,DUAL/GCLK,IP_L10P_2/RDWR_B/GCLK0,DUAL/GCLK,2,.
81,P81,IP_L10N_2/M2/GCLK1,DUAL/GCLK,IP_L10N_2/M2/GCLK1,DUAL/GCLK,2,.
82,P82,IO_L11P_2/D2/GCLK2,DUAL/GCLK,IO_L11P_2/D2/GCLK2,DUAL/GCLK,2,.
83,P83,IO_L11N_2/D1/GCLK3,DUAL/GCLK,IO_L11N_2/D1/GCLK3,DUAL/GCLK,2,.
84,P84,IO/M1,DUAL,IO/M1,DUAL,2,.
85,P85,GND,GND,GND,GND,GND,.
86,P86,IO_L12P_2/M0,DUAL,IO_L12P_2/M0,DUAL,2,.
87,P87,IO_L12N_2/DIN/D0,DUAL,IO_L12N_2/DIN/D0,DUAL,2,.
88,P88,VCCO_2,VCCO,VCCO_2,VCCO,2,.
89,P89,IO_L13P_2,I/O,IO_L13P_2,I/O,2,.
90,P90,IO_L13N_2,I/O,IO_L13N_2,I/O,2,.
91,P91,IP,INPUT,IP,INPUT,2,.
92,P92,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
93,P93,IO_L14P_2/A23,DUAL,IO_L14P_2/A23,DUAL,2,.
94,P94,IO_L14N_2/A22,DUAL,IO_L14N_2/A22,DUAL,2,.
95,P95,GND,GND,GND,GND,GND,.
96,P96,IO_L15P_2/A21,DUAL,IO_L15P_2/A21,DUAL,2,.
97,P97,IO_L15N_2/A20,DUAL,IO_L15N_2/A20,DUAL,2,.
98,P98,IO/VREF_2,VREF,IO/VREF_2,VREF,2,.
99,P99,IO_L16P_2/VS2/A19,DUAL,IO_L16P_2/VS2/A19,DUAL,2,.
100,P100,IO_L16N_2/VS1/A18,DUAL,IO_L16N_2/VS1/A18,DUAL,2,.
101,P101,IP,INPUT,IP,INPUT,2,.
102,P102,IO_L17P_2/VS0/A17,DUAL,IO_L17P_2/VS0/A17,DUAL,2,.
103,P103,IO_L17N_2/CCLK,DUAL,IO_L17N_2/CCLK,DUAL,2,.
104,P104,DONE,CONFIG,DONE,CONFIG,VCCAUX,.
105,P105,GND,GND,GND,GND,GND,.
106,P106,IO_L01P_1/A16,DUAL,IO_L01P_1/A16,DUAL,1,.
107,P107,IO_L01N_1/A15,DUAL,IO_L01N_1/A15,DUAL,1,.
108,P108,IO_L02P_1/A14,DUAL,IO_L02P_1/A14,DUAL,1,.
109,P109,IO_L02N_1/A13,DUAL,IO_L02N_1/A13,DUAL,1,.
110,P110,IP,INPUT,IP,INPUT,1,.
111,P111,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
112,P112,IO_L03P_1,I/O,IO_L03P_1,I/O,1,.
113,P113,IO_L03N_1/VREF_1,VREF,IO_L03N_1/VREF_1,VREF,1,.
114,P114,VCCO_1,VCCO,VCCO_1,VCCO,1,.
115,P115,IO_L04P_1,I/O,IO_L04P_1,I/O,1,.
116,P116,IO_L04N_1,I/O,IO_L04N_1,I/O,1,.
117,P117,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
118,P118,IP,INPUT,IP,INPUT,1,.
119,P119,IO_L05P_1/A12,DUAL,IO_L05P_1/A12,DUAL,1,.
120,P120,IO_L05N_1/A11,DUAL,IO_L05N_1/A11,DUAL,1,.
121,P121,GND,GND,GND,GND,GND,.
122,P122,IO_L06P_1,I/O,IO_L06P_1,I/O,1,.
123,P123,IO_L06N_1/VREF_1,VREF,IO_L06N_1/VREF_1,VREF,1,.
124,P124,IP,INPUT,IP,INPUT,1,.
