Bank Number,VREFB Group,Pin Name / Function,Optional Function(s),Configuration Function,"F256/U256",E144 (4),DQS for X8/X9 in F256/U256 ,DQS for X16/X18 in F256/U256,DQS for X8/X9 in E144,,,
B1,  VREFB1N0,  IO,   ,   ,  B1,   ,"  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0","  DQS2L/CQ3L,CDPCLK0",,,
B1,  VREFB1N0,  IO,  DIFFIO_L3p,   ,  C2,   ,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L3n,"  DATA1,ASDO",  C1,6,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  VREFB1N0,   ,  F3,7,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L4p,"  FLASH_nCE,nCSO",  D2,8,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L4n,   ,  D1,   ,   ,   ,   ,,,
B1,  VREFB1N0,  nSTATUS,   ,  nSTATUS,  F4,9,   ,   ,   ,,,
B1,  VREFB1N0,  IO,   ,   ,  G5,   ,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L5p,   ,  F2,   ,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L5n,   ,  F1,   ,   ,   ,   ,,,
B1,  VREFB1N0,  IO,  DIFFIO_L6p,   ,  G2,10,"  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0","  DQS0L/CQ1L,DPCLK0",,,
B1,  VREFB1N0,  IO,  DIFFIO_L6n,   ,  G1,11,   ,   ,   ,,,
B1,  VREFB1N0,  DCLK,   ,  DCLK,  H1,12,   ,   ,   ,
B1,  VREFB1N0,  IO,   ,  DATA0,  H2,13,   ,   ,   ,
B1,  VREFB1N0,  nCONFIG,   ,  nCONFIG,  H5,14,   ,   ,   ,
B1,  VREFB1N0,  TDI,   ,  TDI,  H4,15,   ,   ,   ,
B1,  VREFB1N0,  TCK,   ,  TCK,  H3,16,   ,   ,   ,
B1,  VREFB1N0,  TMS,   ,  TMS,  J5,18,   ,   ,   ,
B1,  VREFB1N0,  TDO,   ,  TDO,  J4,20,   ,   ,   ,
B1,  VREFB1N0,  nCE,   ,  nCE,  J3,21,   ,   ,   ,
B1,  VREFB1N0,  CLK1,  DIFFCLK_0n,   ,  E1,23,   ,   ,   ,
B2,  VREFB2N0,  CLK2,  DIFFCLK_1p,   ,  M2,24,   ,   ,   ,
B2,  VREFB2N0,  CLK3,  DIFFCLK_1n,   ,  M1,25,   ,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L7p,   ,  J2,   ,  DQ1L,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L7n,   ,  J1,   ,  DQ1L,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L8p,   ,   ,28,   ,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L10p,   ,  K2,   ,   ,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L10n,   ,  K1,   ,  DQ1L,   ,   ,
B2,  VREFB2N0,  IO,  DIFFIO_L11p,   ,  L2,30,"  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1","  DQS1L/CQ1L#,DPCLK1",
B2,  VREFB2N0,  IO,  DIFFIO_L11n,   ,  L1,   ,  DQ1L,   ,   ,
B2,  VREFB2N0,  IO,  VREFB2N0,   ,  L3,31,   ,   ,   ,
